organization_name,type,governance_address,url,description
Radicle,governance,0x690e775361ad66d1c4a25d89da9fcd639f5198ed,https://etherscan.io/address/0x690e775361ad66d1c4a25d89da9fcd639f5198ed,Compound Governance
Raid Guild,governance,0xbd6fa666fbb6fdeb4fc5eb36cdd5c87b069b24c1,https://etherscan.io/address/0xbd6fa666fbb6fdeb4fc5eb36cdd5c87b069b24c1,Moloch / Daohaus Governance
Raid Guild,governance,raid-guild,https://snapshot.org/#/raid-guild,Snapshot Governance
Raid Guild War Chest,governance,0xbeb3e32355a933501c247e2dbde6e6ca2489bf3d,https://etherscan.io/address/0xbeb3e32355a933501c247e2dbde6e6ca2489bf3d,Moloch / Daohaus Governance
Rarible,governance,rarible.eth,https://snapshot.org/#/rarible.eth,Snapshot Governance
Ribbon finance,governance,rbn.eth,https://snapshot.org/#/rbn.eth,Snapshot Governance
Rocket LP DAO,governance,0xa9ade79ab198a579772dd5e310ea28643e4a4421,https://etherscan.io/address/0xa9ade79ab198a579772dd5e310ea28643e4a4421,Moloch / Daohaus Governance
Seedify.fund,governance,seedifyfund.eth,https://snapshot.org/#/seedifyfund.eth,Snapshot Governance
ShapeShift,governance,shapeshiftdao.eth,https://snapshot.org/#/shapeshiftdao.eth,Snapshot Governance
Shark DAO,governance,sharkdao.eth,https://snapshot.org/#/sharkdao.eth,Snapshot Governance
ShieldDao,governance,shielddao.aragonid.eth,https://client.aragon.org/#/shielddao.aragonid.eth,Aragon Governance
ShillShop,governance,0x50d9fbebdd7fd36c0716fc1faaa9248bab6bbcc0,https://etherscan.io/address/0x50d9fbebdd7fd36c0716fc1faaa9248bab6bbcc0,Moloch / Daohaus Governance
snglsDAO,governance,0x515aef991f262d0d098dacfb57fccfe9852ff9c1,https://etherscan.io/address/0x515aef991f262d0d098dacfb57fccfe9852ff9c1,Daostack Governance
SquiggleDAO,governance,squiggledao.eth,https://snapshot.org/#/squiggledao.eth,Snapshot Governance
Srt,governance,srt.aragonid.eth,https://client.aragon.org/#/srt.aragonid.eth,Aragon Governance
Stacker Ventures,governance,stackerventures.aragonid.eth,https://client.aragon.org/#/stackerventures.aragonid.eth,Aragon Governance
Stacker Ventures,governance,stackervc.eth,https://snapshot.org/#/stackervc.eth,Snapshot Governance
Stacker Ventures DDC,governance,stackerventures.eth,https://snapshot.org/#/stackerventures.eth,Snapshot Governance
