,screen_name,key_word_tweet_count,tweet_count,key_word_ratio,likes,follower_count,like_follower_ratio
78,PancakeSwap,24,193,0.12435233160621761,14607,1476057,0.009895959302384663
79,Keeper DAO,21,169,0.1242603550295858,593,26030,0.022781406069919324
80,Governor DAO,20,165,0.12121212121212122,670,6805,0.09845701689933872
81,GCR DAO,16,139,0.11510791366906475,65,7495,0.00867244829886591
82,Fraktal DAO,21,185,0.11351351351351352,121,3532,0.034258210645526616
83,Enzyme Finance,16,141,0.11347517730496454,339,32219,0.01052174182935535
84,MantraDAO,22,194,0.1134020618556701,672,56769,0.011837446493684933
85,Meter Governance MTRG,17,154,0.11038961038961038,1105,21486,0.051428837382481614
86,Metafam,16,146,0.1095890410958904,136,4670,0.029122055674518203
87,Blockzero Labs,15,138,0.10869565217391304,382,12086,0.031606817805725634
88,API3,18,168,0.10714285714285714,1360,37523,0.03624443674546278
89,APE DAO,14,132,0.10606060606060606,282,13601,0.02073376957576649
90,Curio,17,162,0.10493827160493827,1819,8828,0.20604893520616221
91,WGMI,15,144,0.10416666666666667,308,4378,0.07035175879396985
92,Raid Guild,17,164,0.10365853658536585,397,7955,0.049905719673161535
93,LexDAO,19,188,0.10106382978723404,233,6078,0.03833497861138532
94,OlympusDAO,14,150,0.09333333333333334,2721,153265,0.017753564088343717
95,Instadapp,10,109,0.09174311926605505,1228,32409,0.03789070937085377
96,SquiggleDAO,12,132,0.09090909090909091,141,6755,0.020873427091043673
97,Ribbon,15,165,0.09090909090909091,1536,33096,0.046410442349528645
98,GoodDollar,16,182,0.08791208791208792,429,12510,0.034292565947242205
99,Credmark,13,150,0.08666666666666667,41,2731,0.015012815818381545
100,AladdinDAO,16,190,0.08421052631578947,104,8989,0.011569696295472243
101,MeebitsDAO,11,135,0.08148148148148149,177,16472,0.010745507527926178
102,Constitution,14,178,0.07865168539325842,4750,70888,0.06700710980701953
103,BrightID,13,169,0.07692307692307693,877,9900,0.08858585858585859
104,Stacker Ventures,10,130,0.07692307692307693,123,2638,0.0466262319939348
105,Vesper,14,183,0.07650273224043716,200,20023,0.00998851320980872
106,Shark DAO,12,159,0.07547169811320754,103,6743,0.01527510010381136
107,1inch,10,136,0.07352941176470588,1214,1015150,0.001195882381914003
108,Kleros,11,161,0.06832298136645963,138,22464,0.006143162393162393
109,CENNZnet Grants DAO,11,164,0.06707317073170732,271,7870,0.03443456162642948
110,Buzzed Bear Hideout,11,172,0.06395348837209303,81,4387,0.018463642580351037
