name,twitter_handle,twitter_url,follower_count,cname,categories,totalProposals,totalVotes,uniqueVoters,icons,tokens,type
EmptySetDollar,emptysetdollar,https://twitter.com/emptysetdollar,3698.0,esd,['Protocol'],19.0,464.0,297.0,"[{'adapter': 'default', 'size': 'thumb', 'url': 'https://assets.coingecko.com/coins/images/12440/thumb/esd_logo_circle.png?1603676421'}, {'adapter': 'default', 'size': 'small', 'url': 'https://assets.coingecko.com/coins/images/12440/small/esd_logo_circle.png?1603676421'}, {'adapter': 'default', 'size': 'large', 'url': 'https://assets.coingecko.com/coins/images/12440/large/esd_logo_circle.png?1603676421'}]","[{'adapter': 'default', 'symbol': 'esd', 'network': 'ethereum', 'contractAddress': '0x36f3fd68e7325a35eb768f1aedaae9ea0689d723', 'marketPrices': [{'currency': 'usd', 'price': 0.01322634}]}]",DAO
Ethereum Name Service,ensdomains,https://twitter.com/ensdomains,155899.0,ens,['Protocol'],2.0,132.0,100.0,"[{'adapter': 'default', 'size': 'thumb', 'url': 'https://assets.coingecko.com/coins/images/19785/thumb/acatxTm8_400x400.jpg?1635850140'}, {'adapter': 'default', 'size': 'large', 'url': 'https://assets.coingecko.com/coins/images/19785/large/acatxTm8_400x400.jpg?1635850140'}, {'adapter': 'default', 'size': 'small', 'url': 'https://assets.coingecko.com/coins/images/19785/small/acatxTm8_400x400.jpg?1635850140'}]","[{'adapter': 'default', 'symbol': 'ens', 'network': 'ethereum', 'contractAddress': '0xc18360217d8f7ab5e7c516566761ea12ce7f9d72', 'marketPrices': [{'currency': 'usd', 'price': 17.49}]}]",DAO
Fei Money,feiprotocol,https://twitter.com/feiprotocol,36486.0,fei,['Protocol'],57.0,1129.0,661.0,"[{'adapter': 'default', 'size': 'large', 'url': 'https://assets.coingecko.com/coins/images/14575/large/tribe.PNG?1617487954'}, {'adapter': 'default', 'size': 'small', 'url': 'https://assets.coingecko.com/coins/images/14575/small/tribe.PNG?1617487954'}, {'adapter': 'default', 'size': 'thumb', 'url': 'https://assets.coingecko.com/coins/images/14575/thumb/tribe.PNG?1617487954'}]","[{'adapter': 'default', 'symbol': 'tribe', 'network': 'ethereum', 'contractAddress': '0xc7283b66eb1eb5fb86327f08e1b5816b0720212b', 'marketPrices': [{'currency': 'usd', 'price': 0.705971}]}]",DAO
Forefront,forefront__,https://twitter.com/forefront__,22051.0,forefront,['Uncategorized'],7.0,285.0,181.0,"[{'adapter': 'default', 'size': 'small', 'url': 'https://assets.coingecko.com/coins/images/14659/small/N2kir6jx_400x400.jpg?1617608020'}, {'adapter': 'default', 'size': 'thumb', 'url': 'https://assets.coingecko.com/coins/images/14659/thumb/N2kir6jx_400x400.jpg?1617608020'}, {'adapter': 'default', 'size': 'large', 'url': 'https://assets.coingecko.com/coins/images/14659/large/N2kir6jx_400x400.jpg?1617608020'}]","[{'adapter': 'default', 'symbol': 'ff', 'network': 'ethereum', 'contractAddress': '0x7e9d8f07a64e363e97a648904a89fb4cd5fb94cd', 'marketPrices': [{'currency': 'usd', 'price': 1.34}]}]",DAO
Friends With Benefits,FWBtweets,https://twitter.com/FWBtweets,50654.0,friendswithbenefits,['Social'],35.0,4162.0,1319.0,"[{'adapter': 'default', 'size': 'thumb', 'url': 'https://assets.coingecko.com/coins/images/14391/thumb/xRGEXmQN_400x400.png?1615868085'}, {'adapter': 'default', 'size': 'small', 'url': 'https://assets.coingecko.com/coins/images/14391/small/xRGEXmQN_400x400.png?1615868085'}, {'adapter': 'default', 'size': 'large', 'url': 'https://assets.coingecko.com/coins/images/14391/large/xRGEXmQN_400x400.png?1615868085'}]","[{'adapter': 'default', 'symbol': 'fwb', 'network': 'ethereum', 'contractAddress': '0x35bd01fc9d6d5d81ca9e055db88dc49aa2c699a8', 'marketPrices': [{'currency': 'usd', 'price': 47.6}]}]",DAO
Frontier,FrontierDAO,https://twitter.com/FrontierDAO,3870.0,frontier,['Product'],1.0,31.0,31.0,"[{'adapter': 'default', 'size': 'large', 'url': 'https://assets.coingecko.com/coins/images/12479/large/frontier_logo.png?1600145472'}, {'adapter': 'default', 'size': 'small', 'url': 'https://assets.coingecko.com/coins/images/12479/small/frontier_logo.png?1600145472'}, {'adapter': 'default', 'size': 'thumb', 'url': 'https://assets.coingecko.com/coins/images/12479/thumb/frontier_logo.png?1600145472'}]","[{'adapter': 'default', 'symbol': 'front', 'network': 'ethereum', 'contractAddress': '0xf8c3527cc04340b208c854e985240c02f7b7793f', 'marketPrices': [{'currency': 'usd', 'price': 0.485498}]}]",DAO
Gitcoin,gitcoin,https://twitter.com/gitcoin,90185.0,gitcoin,['Protocol'],16.0,441.0,311.0,"[{'adapter': 'default', 'size': 'thumb', 'url': 'https://assets.coingecko.com/coins/images/15810/thumb/gitcoin.png?1621992929'}, {'adapter': 'default', 'size': 'small', 'url': 'https://assets.coingecko.com/coins/images/15810/small/gitcoin.png?1621992929'}, {'adapter': 'default', 'size': 'large', 'url': 'https://assets.coingecko.com/coins/images/15810/large/gitcoin.png?1621992929'}]","[{'adapter': 'default', 'symbol': 'gtc', 'network': 'ethereum', 'contractAddress': '0xde30da39c46104798bb5aa3fe8b9e0e1f348163f', 'marketPrices': [{'currency': 'usd', 'price': 8.1}]}]",DAO
Gnosis,gnosisPM,https://twitter.com/gnosisPM,118673.0,gnosis,['Protocol'],18.0,2282.0,931.0,"[{'adapter': 'default', 'size': 'large', 'url': 'https://assets.coingecko.com/coins/images/662/large/logo_square_simple_300px.png?1609402668'}, {'adapter': 'default', 'size': 'thumb', 'url': 'https://assets.coingecko.com/coins/images/662/thumb/logo_square_simple_300px.png?1609402668'}, {'adapter': 'default', 'size': 'small', 'url': 'https://assets.coingecko.com/coins/images/662/small/logo_square_simple_300px.png?1609402668'}]","[{'adapter': 'default', 'symbol': 'gno', 'network': 'ethereum', 'contractAddress': '0x6810e776880c02933d47db1b9fc05908e5386b96', 'marketPrices': [{'currency': 'usd', 'price': 337.51}]}]",DAO
Idle,idlefinance,https://twitter.com/idlefinance,12679.0,idlefinance,['Protocol'],88.0,1198.0,323.0,"[{'adapter': 'default', 'size': 'thumb', 'url': 'https://assets.coingecko.com/coins/images/13286/thumb/token-logo.png?1607004948'}, {'adapter': 'default', 'size': 'small', 'url': 'https://assets.coingecko.com/coins/images/13286/small/token-logo.png?1607004948'}, {'adapter': 'default', 'size': 'large', 'url': 'https://assets.coingecko.com/coins/images/13286/large/token-logo.png?1607004948'}]","[{'adapter': 'default', 'symbol': 'idle', 'network': 'ethereum', 'contractAddress': '0x875773784af8135ea0ef43b5a374aad105c5d39e', 'marketPrices': [{'currency': 'usd', 'price': 1.5}]}]",DAO
Index,Index_DAO,https://twitter.com/Index_DAO,1160.0,indexCoop,['Product'],303.0,13937.0,2619.0,"[{'adapter': 'default', 'size': 'thumb', 'url': 'https://assets.coingecko.com/coins/images/12729/thumb/index.png?1634894321'}, {'adapter': 'default', 'size': 'small', 'url': 'https://assets.coingecko.com/coins/images/12729/small/index.png?1634894321'}, {'adapter': 'default', 'size': 'large', 'url': 'https://assets.coingecko.com/coins/images/12729/large/index.png?1634894321'}]","[{'adapter': 'default', 'symbol': 'index', 'network': 'ethereum', 'contractAddress': '0x0954906da0bf32d5479e25f46056d22f08464cab', 'marketPrices': [{'currency': 'usd', 'price': 7.31}]}]",DAO
